motif_index_0based,motif_id,motif_title,motif_gloss,description_present,tradition_frequency,tradition_prevalence
0,a1_1,The old sun,"Another sun, usually less benevolent and/or powerful, existed before the present one",True,44,0.047516198704103674
1,a2a_1,Several suns burn the earth,"The world was (almost) burned when several suns had (will) appear(ed) simultaneously. (Texts with ""Moon was equal to Sun"" without ""the burned earth"" motif not mentioned)",True,75,0.08099352051835854
2,a2b_1,Extra suns and moons annihilated,Other suns or moons besides present ones had been in the sky and were later annihilated,True,65,0.07019438444924406
3,a2b1_1,The last sun,"Two or more suns shine in the sky. When the extra suns had been annihilated, there was a risk of the last one being destroyed too",True,19,0.020518358531317494
4,a2c_1,Extra suns are children of the present one,Extra suns who almost burned or could burn the world are children of the present one,True,19,0.020518358531317494
5,a2d_1,Suns of the other worlds,Different suns illuminate different worlds or will appear successively in the future,True,14,0.01511879049676026
6,a3_1,Male sun and female moon,"The Moon is female or bisexual, the Sun is male",True,325,0.3509719222462203
7,a4_1,Female sun,"The Sun is female, the Moon is male or (much more rare) also female",True,209,0.22570194384449244
8,a4a_1,The Sun dazzles eyes,"Modest Sun-woman dazzles (usually pricks with needles, i.e. the sun rays) eyes of those who look at her",True,11,0.011879049676025918
9,a4b_1,The Sun is afraid of the night,"Being afraid of the night, the Sun decided to travel across the sky only at the day time",True,5,0.005399568034557235
10,a5_1,The Sun and the Moon are males,"The Moon is male, the Sun is also male or (much more rare) asexual",True,302,0.326133909287257
11,a5a_1,The Sun created from the Moon’s swaddling clothes,The younger brother (usually the Sun) is created from urine and swaddling clothes of the elder brother (usually the Moon).,True,8,0.008639308855291577
12,a6_1,The Sun and the Moon are females,Both the Sun and the Moon are considered to be females (incl. cases when the gender is not directly specified but both emerge from parts of the body of a female person),True,48,0.05183585313174946
13,a7_1,The sun pursues the moon,The Sun and the Moon are persons of different sex. The man pursues the woman or vice versa. Details of pursuit usually explain why the luminaries are not equally bright and/or why there are stains on the lunar disc,True,36,0.038876889848812095
14,a8_1,"The Sun, the Moon and the Star are three siblings","The Sun, the Moon and the star (stars) are three sisters or three brothers",True,3,0.0032397408207343412
15,a8a_1,a8a_1,,False,6,0.0064794816414686825
16,a9_1,The moon defends people,Female moon does not permit her husband or son to destroy people,True,5,0.005399568034557235
17,a10_1,The sun finds its eyes,The sun gets his bright eye or eyes from an animal,True,6,0.0064794816414686825
18,a11a_1,Eyes of the Sun and the Moon: coolness and night,"Visible sun and/or moon are the Sun's and/or the Moon's eyes. If these eyes were not injured, light and heat would be more intense",True,31,0.03347732181425486
19,a11b_1,One-eyed luminaries,The Sun or the Moon have only one eye (the Mundurucu: they are blind),True,30,0.032397408207343416
20,a11c_1,"The Sun, the Moon and monster’s eyes",The Sun and the Moon kill a monster whose eyes are unequally bright. The Moon takes the brighter eye but gives it back to the Sun,True,4,0.004319654427645789
21,a12_1,Eclipses: a monster’s attack,"Some creature or creatures regularly (sunrise and sunset, summer and winter, lunar phases) or irregularly (solar and lunar eclipses, eschatological events) attack the luminaries or shade their light",True,270,0.2915766738660907
22,a12a_1,Eclipses: a predator animal,"During an eclipse or at the sunset the Sun or the Moon are attacked by a predator animal (a bear, a feline, a canine, a racoon)",True,82,0.08855291576673865
23,a12b_1,Eclipses: a frog or toad,During an eclipse or at the sunset the Sun or the Moon are attacked by a frog or toad,True,21,0.02267818574514039
24,a12c_1,Eclipses: reptiles and fish,"During an eclipse or at the sunset the Sun or the Moon are attacked by a reptile (a snake, a lizard, a dragon, a crocodile) or a fish",True,65,0.07019438444924406
25,a12d_1,Eclipses: birds,A bird or birds attack or shade the Sun or the Moon during an eclipse or at the sunrise and sunset,True,25,0.026997840172786176
26,a12e_1,Eclipses: spider,A spider produces the lunar eclipses,True,5,0.005399568034557235
27,a12f_1,Eclipses: creditor,A creditor comes from time to time to the Sun or the Moon to claim back his money producing eclipses,True,12,0.012958963282937365
28,a13a_1,Raven steals the Sun,Raven steals (hides) the Sun or tries to do it,True,8,0.008639308855291577
29,a13a1_1,Raven obtains the Sun,Raven obtains the hidden or stolen Sun,True,27,0.029157667386609073
30,a13b_1,Ants shade the Sun,During an eclipse or during the first night ants shade or shaded the Sun,True,7,0.00755939524838013
31,a14_1,Eclipses: relations between the Sun and the Moon,Coming together of the Sun and the Moon is the reason of their eclipses,True,96,0.10367170626349892
32,a15_1,Eclipses: crossing of the paths,An eclipse happens when the Sun or the Moon turns to a wrong path or when their paths cross,True,13,0.014038876889848811
33,a16_1,Dangers along the Sun’s way,Every night the Sun and/or the Moon passes by creatures or objects which try to destroy them,True,30,0.032397408207343416
34,a17_1,The Sun’s relax at the midday,"After passing half of the its way across the sky (in the day time) or in the underworld (in the night time), the Sun stops to have a rest",True,45,0.04859611231101512
35,a18_1,The sky boats,The Sun and/or the Moon regularly travel across the sky or the underworld in a boat. (Voyages by boat of the mythical persons who eventually become the Sun or the Moon not included),True,25,0.026997840172786176
36,a19a_1,"By horse in the morning, by ox in the evening","During its everyday travel across the sky, the Sun changes its draught animals (usually in the morning the Sun rides a slow animal and in the evening a quick one)",True,8,0.008639308855291577
37,a19b_1,"By snail in summer, by bird in winter","For its sky voyage, the Sun chooses draught animals according to the season, riding a slow animal in the summer time and a quick one in the winter time",True,5,0.005399568034557235
38,a20_1,Childhood of the Sun and Moon,The Sun and Moon are two siblings who live on earth and then ascend to the sky. Their (birth and) childhood are described,True,34,0.0367170626349892
39,a21_1,Luminaries thrown up into the sky,The sun and/or the moon are inanimate objects thrown up or put into the sky,True,55,0.05939524838012959
40,a22_1,To the sky from a bonfire,"After getting into the fire or boiling water, one or two persons ascend to the sky and turn into the Sun and/or Moon",True,30,0.032397408207343416
41,a22a_1,The hot Sun and its cold companion,"After two persons burn up, one turns into the present Sun and another into a less important sky object",True,14,0.01511879049676026
42,a22b_1,Hot fire and cold ashes,Person who becomes the Sun burned up in a hot fire while his companion burned up in the less hot fire or threw himself into the ashes. He (she) turns into the Moon or a star which gives no warmth,True,8,0.008639308855291577
43,a22c_1,Person sacrificed to the Sun,"To make the Sun rise above the horizon, to send him to the right distance from the earth, to make him move across the sky, etc. a person has to be sacrificed",True,17,0.0183585313174946
44,a22d_2,The burned up persons turn into constellation,The burned up persons turn into a constellation or into the dark spot on the Milky Way,True,4,0.004319654427645789
45,a23_1,Elections of the Sun to be,The primeval ancestors come together to choose the best candidate to become the Sun and/or to send the Sun to the sky or to see how the Sun rises to the sky for the first time,True,38,0.04103671706263499
46,a23a_11,Who will see the Sun first?,Two persons or animals argue about who of them will be the first to see the rising sun. One who seemed to have less chances wins,True,39,0.042116630669546434
47,a23b_11,First beams on the tree tops,Two persons or animals argue who would see the rising sun first. One who looks not to the east but to the opposite direction gets to see the first beams on trees or mountain tops and wins,True,19,0.020518358531317494
48,a23c_11,Who will fly higher?,Birds argue who of them will fly higher. One who seemed to have less chances wins (he hides himself in feathers of a strong bird using it as a vehicle) ,True,33,0.035637149028077755
49,a24_1,The first sunrise,"In the beginning it is dark. When the Sun first appears on the sky, primeval beings or part of them perish or turn into animals or spirits",True,46,0.04967602591792657
50,a24a_3,The first day or night: transformed into spirits,"At the moment when the first day or the first night come, (some) people turn into supernatural beings",True,5,0.005399568034557235
51,a25_3,Getting accustomed to the light,"When people see light of day for the first time, they are prohibited to look at it immediately. Those who break this taboo are ruined",True,7,0.00755939524838013
52,a26_1,The Sun-bird,"A bird incorporates the Sun or the day light. It can be caught, let free, killed",True,4,0.004319654427645789
53,a27_1,Crowns of the Sun and Moon,"Light and/or heat of the Sun and/or Moon originate from their crowns, necklaces or clothes (of feathers, of animal teeth)",True,45,0.04859611231101512
54,a29_1,The Sun and a demon compete for the hero,"Two persons one of whom is connected with the upper and another with the lower or middle world, both are eager to possess another person and pull him or her to his or her side. One or both rivals are female. Person connected with the upper world and/or the object of the competition are luminaries – the Sun, the Moon, or Venus",True,13,0.014038876889848811
55,a29a_10,Torn in half by two wives,The sky wife and the wife from the earth each pull the man to her side tearing him in half,True,6,0.0064794816414686825
56,a29b_1,The Moon torn in half,"Person, connected with the upper world and another person connected with the lower world or the earth both are eager to possess a hero or heroin who is associated with the Moon",True,10,0.01079913606911447
57,a30_1,The Moon eats the dead,"Moon descends to earth to eat children, corpses or bones of the dead",True,7,0.00755939524838013
58,a31_2,The incestuous Moon ,"As a result of some intimate contacts and/or love affair, the Moon acquires its present appearance (often, the stains on his face) and/or ascends to the sky",True,103,0.11123110151187905
59,a31a_5,The cut off breast,"When a woman gets know that her husband or lover did something against accepted rules of behavior, she cuts off her breast and shows it to him",True,9,0.009719222462203024
60,a32_2,Figure on lunar disc,A figure or an imprint of some being or object are seen in the Moon. (For statistical analysis motifs A32A – A32J are also included into A32),True,337,0.36393088552915764
61,a32a_2,The Moon rabbit,Rabbit or hare are seen in the moon,True,58,0.06263498920086392
62,a32b_2,The Moon toad,Frog or toad are seen in the moon or the Moon is associated with them,True,38,0.04103671706263499
63,a32c_2,A man and a dog in the Moon,A human being and a dog together are seen in the moon,True,15,0.016198704103671708
64,a32c1_2,a32c1_2,,False,25,0.026997840172786176
65,a32d_2,Man in the Moon,Human being or imprint of human being is seen in the moon,True,250,0.26997840172786175
66,a23d1_2,a23d1_2,,False,14,0.01511879049676026
67,a32dd_2,Firewood-carrier in the moon,Person who carries a bundle of brushwood or firewood is seen in the moon.,True,16,0.017278617710583154
68,a32e_2,Person with an object in hands,Person who holds some object in his or her hands is seen in the moon,True,126,0.13606911447084233
69,a32f_2,Water-carrier in the Moon,Person who went to fetch water and/or holds in hands a container for liquid is seen in the moon,True,69,0.07451403887688984
70,a32g_2,Holding a bush,Person who had been carried up to the moon took hold of a bush or a small tree and is seen now on the lunar disc together with this bush,True,17,0.0183585313174946
71,a32h_2,The Moon plant,A tree or bush is seen in the moon,True,60,0.06479481641468683
72,a32i_2,A shepherd in the moon,"A shepherd or herdsman (alone or with a girl, with his herd, dogs) is seen in the moon",True,5,0.005399568034557235
73,a32j_2,A shaman in the moon,"A shaman with his drum ascends to the moon and remains there, his figure is seen in the moon",True,5,0.005399568034557235
74,a32k_2,"First to the Sun, then to the Moob",Person seen in the Moon initially had to get to the Sun or the Sun and the Moon argue who of them should get the person,True,9,0.009719222462203024
75,a33_2,The Sun ram,"The Sun has appearance of one a hoofed animal (bull, ram, pig, etc.)",True,11,0.011879049676025918
76,a34_2,The fox and the Moon,"Jackal, coyote, or fox are connected with the Moon (usually with the origin of spots on the lunar disc)",True,23,0.024838012958963283
77,a35_2,Spots on the lunar disc,"Dark spots on the lunar disc are dirt, blood, paint, traces of beating, burning, scratching, etc. on the Moon person's body or face (Kiliwa: spots on the Sun) and do not form any particular figure",True,188,0.20302375809935205
78,a35a_2,Dirt into the Moon’s face,Spots on the lunar disc are dirt thrown into the Moon's face by his/her sister/brother or mother,True,28,0.03023758099352052
79,a35b_2,To smear the Moon with pitch,"To make the Moon less bright, some person tried to smear it with pitch ",True,6,0.0064794816414686825
80,a36_4,The immortal Moon,"Moon, unlike people, revives or rejuvenates every month; or those who live in the Moon are immortal; or the Moon makes decision if people should die forever or regularly revive",True,66,0.07127429805615551
81,a37_1,The Sun is attacked,Person attacks the Sun (or several suns if they were many) with weapon,True,59,0.06371490280777538
82,a37a_7,Shooter hides underground,"Small animal (marmot, rabbit, mole, toad, frog) or person who turns into this animal tried to hit the Sun with arrows and since then has been hiding from the Sun in underground holes or in the water",True,11,0.011879049676025918
83,a37b_7,Shooter’s thumb cut off,"Small animal (marmot, rabbit, mole, toad, frog) or person who turns into this animal tried to hit the Sun with his arrows but remains without thumb as a result",True,7,0.00755939524838013
84,a38_1,The Sun caught in snare,"Person prepares a snare, loop, noose, etc. to catch the Sun and/or the Sun is caught in a snare, tied by a rope, etc.",True,60,0.06479481641468683
85,a38a_5,Snare of pubic hair,The Sun is caught into snare made of the pubic hair of hero's female relative,True,7,0.00755939524838013
86,a38b_7,Mouse gnaws snare open,"After the Sun is caught into snare only mouse, shrew or other small animal is able to cut it open",True,22,0.023758099352051837
87,a38c_10,The Sun’s cloak,A boy or a girl has a cloak. The Sun spoils it or gives instead a better one,True,12,0.012958963282937365
88,a38d_10,The Sun ruins cloak,"Because the Sun does damage to a person or animal (spoils, burns his cloak, skin, etc.), the person or animal kills him or catches him in a snare",True,10,0.01079913606911447
89,a39_1,The twelve months,Every one of the months of a year is a separate object or creature,True,35,0.03779697624190065
90,a40_5,The Sun or Moon marry toad,Frog or Toad is a wife of the Sun or Moon,True,21,0.02267818574514039
91,a41_1,The Sun swallows her children,"Two persons have children (younger siblings, mothers). One of them proposes to another that they should kill (eat, bake, etc.) their children (mothers, etc.) but hides his or her own. The opponent actually kills his or her own kin. One of the persons or/and the only survived child is the Sun",True,20,0.02159827213822894
92,a42_1,Phaethon: false Sun fails to fulfill his duty,"Person comes to the sun, attempts to fulfill the sun's duty but intentionally or because of a lack of skill does it wrong and the earth suffers from heat etc.",True,16,0.017278617710583154
93,a43_3,The Moon in one moccasin ,"The Moon-person runs out of the lodge and flies up. He forgets to put his footwear on one foot, or somebody attempts to seize him grasping his foot or cuts the foot off. Now the Moon-person lacks one foot or footwear on one of his (or her) feet",True,15,0.016198704103671708
94,a43a_10,Person with a shoe on one foot,"While being transformed into a bird or ascending to the sky a person was in a hurry and put a footwear only on one foot, or somebody attempted to seize him grasping his foot. Now the corresponding bird or a sky-person is believed to have different feet",True,18,0.019438444924406047
95,a44_2,Moon the protector,A woman tyrannized by her husband or an orphan girl or boy asks the Moon to take her or him to the sky. The request is granted and the person is seen now on the lunar disc,True,44,0.047516198704103674
96,a45_2,The insulted Moon,Person who teases or insults the Moon is punished,True,31,0.03347732181425486
97,a46_1,The Sun and Moon from eyes of a being,The Sun and Moon (Rig-Veda: the Sun only) appear from eyes of a person or creature,True,22,0.023758099352051837
98,b1_3,Two male creators,In the beginning of times two companions or brothers compete in producing things. Usually one of them is or becomes master of the underworld,True,72,0.07775377969762419
99,b1a_3,Three worlds: the universe divided between gods,"Anthropomorphic persons agree to divide between them levels of universe (upper world, earth, lower world)",True,6,0.0064794816414686825
100,b1b_3,Two female creators,"In the beginning of times two supernatural females compete in producing things. One has positive, another negative characteristics",True,5,0.005399568034557235
101,b1c_3,One creator deceives another,"Two creators agree that whose object will be found in a certain condition (usually: whose tree or flower will grow or blossom first) should be recognized as a senior one. While one of the creators sleeps or is absent, another replaces the objects and so achieves the priority by deceit",True,6,0.0064794816414686825
102,b1d_3,Good and bad workers,"Two persons are creating the world, one is a good and and another a bad worker, that’s because separate parts of the world look differently",True,4,0.004319654427645789
103,b2a_3,The female earth,The earth is a female being or associated with a woman,True,251,0.2710583153347732
104,b2b_3,The earth eats the dead,The earth devours bodies of the people when they die and are buried,True,21,0.02267818574514039
105,b2c_3,The earth as a child’s body,"The earth as a whole or fertile soil is the body of a child, has been born by a woman",True,11,0.011879049676025918
106,b2d_3,Marriage of the sky and the earth,"The male Sky (the Sun, the Thunder, the creator of the sky) marries the female Earth (or its female creator) or the female Sky marries the male Earth",True,95,0.10259179265658748
107,b2e_3,The male earth,The earth or the world as a whole is a male person,True,36,0.038876889848812095
108,b2f_3,Buried in a head,Initially the earth is absent or liquid. Zoomorphic person buries his relatives in his own body or flies carrying the coffin,True,12,0.012958963282937365
109,b2g_7,b2g_7,,False,6,0.0064794816414686825
110,b3_3,A primeval swamp,"Initially the earth is a swamp, water and dry land are not separated from each other",True,14,0.01511879049676026
111,b3a_3,Primeval waters,"Water is the original element, the dry earth appears later",True,291,0.3142548596112311
112,b3b_3,Earth grows big,Original earth was small and later increased in size or the fertile soil grew from a small amount of original substance,True,277,0.2991360691144708
113,b3c_3,An attempt to drown God,"When dry land is created, Creator takes a rest and sleeps. His antagonist decides to drown him and drags him to the edge of the earth. The dry land grows in size as long as the antagonist drags the Creator's body, the edge never reached",True,11,0.011879049676025918
114,b3d_3,Earth from worm’s excrements,"A worm obtains the earth (from the underworld), it emerges from the worm's excrements, is extracted from inside of the worm",True,17,0.0183585313174946
115,b3e_3,Earth falls on waters,"In the beginning there are only air and water. 1) Person descends from the sky, creates the dry land or a hard support created for her or him grows into the earth. 2) The earth is sent or dropped from the sky, put on the surface of the water. 3) The earth is brought from somewhere (not from the underworld) and put on the water",True,68,0.0734341252699784
116,b4_3,The fished out earth,Islands or continent are fished out of the ocean or pulled to their present place by rope,True,34,0.0367170626349892
117,b5a_3,Two creators: a dialogue,"In the beginning of time, a male and a female persons meet each other and become engaged into the dialogue",True,13,0.014038876889848811
118,b5b_3,The universal mother,Woman (alone or with her companion) gives birth to or creates not only people but also different creatures and objects,True,25,0.026997840172786176
119,b6_5,First man and woman meets each other,"The first or the only survived man and woman walk or run to each other around a post, a hill, etc. When they come together they marry each other",True,16,0.017278617710583154
120,b7a_3,The spit out water,"Somebody is the only possessor of water or certain beverage. Another person drinks it, escapes and spits out making it available for the people",True,16,0.017278617710583154
121,b7b_3,Waters from broken pot,"Sea, river, waters of flood flow out of a small container",True,36,0.038876889848812095
122,b7c_3,Water splashed out,Person or creature possesses all the fresh water. Another person splashes it out of a container or pond making it available for everybody,True,8,0.008639308855291577
123,b7d_3,Water flows from broken bone,Water flows from a broken bone (of a bird) producing a flood,True,5,0.005399568034557235
124,b8_3,Frog hides the water,Frog hides all the water but other person makes it available for everybody,True,14,0.01511879049676026
125,b9_3,Water in the tree trunk,There is enormous amount of water inside a trunk of a tree or a tree turns into water,True,51,0.0550755939524838
126,b10_3,Drunk out water,"Person drinks a lake or all the water in the world or all the water is originally inside person's belly. When a hole is made in it, the water pours out",True,36,0.038876889848812095
127,b11a_3,Mammoth creates the landscape,Mammoth described as an underground creature moves across the earth while it is still wet creating the present landscape,True,7,0.00755939524838013
128,b13a_10,Stream follows person,A stream of water (with a monster in it) pursues person who tries to escape from it,True,24,0.02591792656587473
129,b14_3,Tears turn into water,"Rivers, fountains, ocean, waters of flood, rain, etc. emerge from somebody's tears",True,59,0.06371490280777538
130,b15_3,River from woman’s body,A river flows from the body of a female person,True,13,0.014038876889848811
131,b16a_3,Sea from the urine,"Initially there is no sea, it is produced from some person's urine",True,8,0.008639308855291577
132,b16b_3,Wolverine makes the sea salty,Wolverine or fox bathes in the sea making the water salty,True,5,0.005399568034557235
133,b16c_3,Salt-grinding mill,Magic mill is ordered to grind salt but not ordered to stop. It sinks into ocean and continues to work making the water salty,True,41,0.04427645788336933
134,b17_3,Night in container,Darkness is a particular object that can be carried (usually brought from its original owner in a container),True,54,0.058315334773218146
135,b18_3,Day in container,"Day light (also warmth, the sun, the moon) is kept as a particular object in a container, under a cover, etc.",True,48,0.05183585313174946
136,b19_3,The night and the married life,People had trouble making love before night came into being,True,13,0.014038876889848811
137,b20_3,Expedition to the upper world,"People regularly ascend to the sky for hunting, fishing or gathering; do not give honey, fish or proper meat to the old person remained below; she or he makes their return impossible, they remain in the sky",True,7,0.00755939524838013
138,b21_3,Destruction of the world tree,"People ascend the tree to hunt, fish, or gather food in the sky. The tree is destroyed, people fall to earth or remain in the upper world",True,8,0.008639308855291577
139,b22_3,Offended person destroys the tree,People who have climbed up a tree do not share food with a person who remained below. He or she revenges on them destroying the tree. The events have cosmic dimensions,True,9,0.009719222462203024
140,b22a_10,Lads and tapir,"Boys climb a tree to eat fruits. Tapir asks them to give some fruits to him, they refuse to do so. Tapir tries to kill the boys",True,3,0.0032397408207343412
141,b23_7,Prohibited fire and smoke,God prohibits making fire for cooking and punishes breakers of this taboo,True,11,0.011879049676025918
142,b24_7,Transformation of kinsmen into wild pigs,Person transforms into wild pigs his kinsmen or children,True,5,0.005399568034557235
143,b24a_7,Circle of feathers,"Person makes a circle of bird feathers around a group of people or throws feathers into their dwelling, people turn into wild pigs",True,6,0.0064794816414686825
144,b25_7,Pigs fall from a tree,Persons climb a tree or liana and fall turning into wild pigs and other game animals,True,6,0.0064794816414686825
145,b26_10,Man joins wild animals,Person who follows the wild animals turns into one of them or into their master,True,54,0.058315334773218146
146,b27_10,Variants of transformations,"Persons ponders over what object, feature, or creature it would be appropriate for him or her to turn into. When the choice is made, the persons transforms himself or herself",True,36,0.038876889848812095
147,b28_3,Travelling transformer,"The transformer walks along coming across different persons, transforming them into birds, animals, stones, shrines, etc. and introducing cultural norms",True,61,0.06587473002159827
148,b28a_8,Pierced to the ground,Person who have been transforming people into animals or stones is pierced to the ground with a pole,True,5,0.005399568034557235
149,b28b_7,Pacification of things,Hero comes to a country where inhabitants are afraid of objects or plants who attack them. He easily overcomes these objects and transforms them in what they are now,True,14,0.01511879049676026
150,b28c_7,Lice grasp a man and pull him into the sea,Lice grasp a man and pull him into the sea,True,2,0.0021598272138228943
151,b28d_7,"Man transformed into deer, his knives into antlers","Unrecognized Transformer meets a man who tells him that he prepares knives (a spear) to kill Transformer. The latter transforms him into deer, his knives or spear into deer antlers",True,10,0.01079913606911447
152,b29_8,Eschatological feast,"People turn into animals, birds or stones at a feast, after the feast, after performing a ritual or after a victory over dangerous enemy",True,50,0.05399568034557235
153,b30a_7,Murdered person turns into fish,Fish emerges from remains of a killed person or creature,True,7,0.00755939524838013
154,b30b_7,Murdered person turns into game animals,Different game animals emerge from remains of a murdered person,True,11,0.011879049676025918
155,b31_7,Woman turns into water mammal,"After a conflict with a man or remaining alone, a woman turns into water mammal",True,37,0.03995680345572354
156,b32_7,Women turn into fish,After a conflict with their husbands women turn into fish,True,6,0.0064794816414686825
157,b33_3,Mother of wind,"Female person is incarnation of wind, mother of winds, etc.",True,35,0.03779697624190065
158,b33a_10,One dies of cold in the spring,"Believing that a winter is over, an old woman (rare: a young girl, a man) goes outdoors (usually to graze her animals) without a proper clothing. It becomes cold again and she dies of cold",True,40,0.04319654427645788
159,b33a1_10,The offended March,"Person teases, offends March or other month and is punished",True,21,0.02267818574514039
160,b33b_7,A bird of march,In the late winter or early spring a bird (usually a thrush) flies out before time and dies of cold or her nestlings die of cold,True,7,0.00755939524838013
161,b33c_7,The borrowed days,When the winter ends and the spring begins certain mother (usually March) borrows several days from a neighbor month to preserve its strength and produce a short period of a very cold weather,True,23,0.024838012958963283
162,b33d_3,The old woman of winter,Old woman is incarnation of winter or there are several cold days between winter and spring (or fall) associated with a certain old woman,True,29,0.03131749460043196
163,b34_7,Overtaken by the first night,"When night escapes from container where it was originally preserved, men surprised by the darkness turn into birds or animals",True,9,0.009719222462203024
164,b35_7,Waddling bear,"Being in a hurry, the bear puts his left shoe on his right foot and vice versa. Now is lumbering",True,6,0.0064794816414686825
165,b35a_7,Tree fulfills wishes and then transforms into bear,Tree grants a man the fulfillment of his wishes but ultimately transforms him into a bear,True,6,0.0064794816414686825
166,b36_7,"Color, voice, form: one divided between many","Because the integrity of some creature or (rare) object is ruined, different beings get their present colors, voices and other anatomical traits",True,66,0.07127429805615551
167,b36a_7,Bathing in blood,Birds or fish obtain their colors after smearing themselves with liquids extracted from the body of some being or dividing among themselves its bright skin or dress,True,49,0.052915766738660906
168,b36b_7,Birds obtain their voices,Birds obtain their voices after pecking big reptile and smearing themselves with liquids from its body,True,5,0.005399568034557235
169,b36c_7,Fat animals,"Animals get meat and fat extracted from some original creature or created otherwise. Some get a lot, some remain lean",True,14,0.01511879049676026
170,b37_7,Color of birds,"Person paints two or more different birds (rare: fish) or they paint each other, smear themselves with paint, decorate their bodies with pieces of bright skin or fabric. Since then feathers, beaks and feet of the birds (skin and scales of fish) are of different colors",True,116,0.12526997840172785
171,b38_7,The ruined painting,Person paints birds or animals or they paint each other. It is made not according to the original plan,True,71,0.07667386609071274
172,b38a_7,Two birds paint each other,"Two birds paint each other, one becomes worse than it was before",True,36,0.038876889848812095
173,b38b_7,Raven and loon paint each other,Raven and loon paint each other,True,17,0.0183585313174946
174,b38c_7,Tail base of the loon,Person kicks loon or other water bird. Since then this bird has flat tail base and it walks on dry land with difficulty,True,19,0.020518358531317494
175,b38d_7,Raven and owl paint each other,Raven and owl paint each other,True,6,0.0064794816414686825
176,b38e_7,Swan marries crow,A bird with white or bright feathers marries a bird with black feathers but flies away after getting know that his or her marriage partner eats carrion or excrements,True,5,0.005399568034557235
177,b39_7,Narrow waist of an insect,"Insect-person knows the source of food (cultivated plants) and water but does not share his knowledge. To make him speak, ancestors tie a rope around his waist and pull it till the waist becomes narrow (origin of narrow place between breast and belly of insects)",True,10,0.01079913606911447
178,b40_7,Rabbit as deer’s proxy,"Hare or rabbit is a false deer or it was deer in the past or a close kin of the deer or had horns or antlers or missed opportunity to get them, its ears are the false horns",True,35,0.03779697624190065
179,b40a_7,Missed opportunity to have horns,Animal who has no horns now had them before or missed opportunity to get them,True,56,0.06047516198704104
180,b40b_7,Horse exchanges features with cow,"The horse exchanges some parts of his body with the cow, usually gives her horns and/or obtains teeth",True,12,0.012958963282937365
181,b41_7,The talking dog,"Dogs could speak. To prevent them to spread information, the dog is deprived of this ability or the dog rejects it itself",True,39,0.042116630669546434
182,b41a_7,Animal reveals master’s secrets,The dog or other domestic animal speaks aloud about those details of its masters' life that they would prefer to conceal. He is punished by depriving his ability to speak,True,19,0.020518358531317494
183,b42_2,Cosmic hunt,"Certain stars or constellations are interpreted as hunters, their dogs and game which the hunters pursue",True,121,0.1306695464362851
184,b42a_2,Blood or fat drops to earth,"Hunters pursue a bear across the sky, kill it in August – October. Its blood or fat drops to earth as a dew or painting leaves of the trees in red",True,6,0.0064794816414686825
185,b42b_2,Sky hunters pursue an ungulate,"In the cosmic hunt tale the game pursued by the hunters is an ungulate (elk, deer, mountain sheep, etc.)",True,62,0.06695464362850972
186,b42c_2,Sky hunters pursue a bear,In the cosmic hunt tale the game pursued by the hunters is a bear,True,19,0.020518358531317494
187,b42d_2,Sky hunters pursue a tapir,In the cosmic hunt tale the game pursued by the hunters is a tapir,True,5,0.005399568034557235
188,b42e_2,Sky hunters pursue a rhea,In the cosmic hunt tale the game pursued by the hunters is a rhea bird (Rhea americana),True,6,0.0064794816414686825
189,b42f_2,Ursus major is an ungulate,"Ursus major (seven stars or only four stars of a dipper) is identified with an ungulate (elk, deer, mountain sheep, etc.)",True,47,0.05075593952483801
190,b42h_2,The object of cosmic hunt is the Belt of Orion,The object of hunt in the cosmic hunt tale is identified with the Belt of Orion,True,35,0.03779697624190065
191,b42h1_2,b42h1_2,,False,19,0.020518358531317494
192,b42i_2,The object of cosmic hunt is the Lady in the Chair,The object of hunt in the cosmic hunt tale is identified with the Lady in the Chair,True,4,0.004319654427645789
193,b42k_2,Cosmic hunt and the Pleiades,In the cosmic hunt tale either hunters or game is identified with the Pleiades,True,21,0.02267818574514039
194,b42l_2,"Animal is the dipper, hunters are the handle","Stars of the handle of the Big Dipper are identified with the hunters, the dipper itself with the game (bear or elk)",True,20,0.02159827213822894
195,b42m_2,Second hunter’s cooking pot,Hunter identified with Mizar (the second star of the handle of the Big Dipper) carries a cooking pot identified with Alcor (weak star near Mizar),True,10,0.01079913606911447
196,B42m1_2,"Yurak, Selkup and Tungus",Every one of three (rare: four) hunters who pursuing an elk get to the sky and become stars is identified with a person of particular nationality,True,7,0.00755939524838013
197,b42mm_2,The boaster and the hurried one,"In the cosmic hunt tales according to which stars of the handle of the Big Dipper are three hunters, each of the hunters demonstrates particular psychological characteristics (one is a boaster, another is a hurried one, etc.). Usually these hunters are identified with peoples of different ethnic groups or with different species of birds",True,7,0.00755939524838013
198,b42mn_2,b42mn_2,,False,17,0.0183585313174946
199,b42n_2,Orion is one person,"Constellation of Orion or the Belt of Orion is identified with only one male person, usually with a warrior or hunter",True,60,0.06479481641468683
200,b42o_2,Broken back constellation,Certain constellation is a male person whose back is broken or wounded,True,6,0.0064794816414686825
201,B42o1_2,Ursa major is a fisher,Ursa major is identified with a fisher (mustela pennati),True,4,0.004319654427645789
202,b42p_2,Ursa major is a bear,Ursa major is identified with a bear,True,34,0.0367170626349892
