motif_index_0based,motif_id,motif_title,motif_gloss,description_present,tradition_frequency,tradition_prevalence
755,h34g_4,One grain porridge,"One cereal grain (cob, etc.) is enough to prepare a meal",True,34,0.0367170626349892
756,h34h_4,Firewood come by themselves,"Firewood, brushwood arrived to the house themselves, no work was needed to cut and carry them",True,9,0.009719222462203024
757,h35_4,Fragile teeth,Human teeth are made of material subject to easy damage (etiology of tooth ache in most cases),True,24,0.02591792656587473
758,h36_11,The muddled message,"Person is sent by god to bring instructions or certain objects but distorts, forgets or replaces them. This has fatal consequences for humans or for a certain species of animals",True,103,0.11123110151187905
759,h36a_4,Origin of death from the falsified message,"Person is sent by god to bring instructions or certain objects but distorts, forgets or replaces them. Because of this people become mortal (do not revive after death)",True,72,0.07775377969762419
760,h36b_4,Death and the chameleon,Chameleon is responsible for introduction of permanent death,True,32,0.03455723542116631
761,h36c_4,Death and the lizard,Lizard is responsible for introduction of permanent death,True,31,0.03347732181425486
762,h36d_4,Death and the hare,Hare is responsible for introduction of permanent death,True,8,0.008639308855291577
763,h36e_4,Death and the rat,Rat is responsible for introduction of permanent death,True,10,0.01079913606911447
764,h36f_4,Raven is a failed messenger,"Raven is sent to deliver important object or message. It distorts message, loses object",True,16,0.017278617710583154
765,h36ff_4,Death and the raven,Raven is responsible for introduction of permanent death,True,35,0.03779697624190065
766,h36g_4,Muddled message: how many meals a day,God sends his messenger to tell people that they should eat only rarely (once in three days or the like). The messenger tells them that they should eat often (three times a day),True,13,0.014038876889848811
767,h36gg_4,Death and the coyote,Coyote is responsible for introduction of permanent death,True,35,0.03779697624190065
768,h36h_4,The unhappy jump,"Some beings, frog and toad among them, have to overcome an obstacle. This is realized not the way it was planned and as a consequence, people become mortal",True,7,0.00755939524838013
769,h36hh_4,Death and the frog,Frog or toad is responsible for introduction of permanent death,True,24,0.02591792656587473
770,h36I_4,Death and the goat,Goat or sheep is responsible for introduction of permanent death,True,15,0.016198704103671708
771,h36j_4,Death and the lark,Lark is responsible for introduction of permanent death,True,5,0.005399568034557235
772,h37_10,Magic device lost by a failure ,"Magic object, device that makes hunting or fishing easy gets into possession of a person who is unable to operate it or abuses it. The device kills or injures the failure himself, other people and/or disappears",True,41,0.04427645788336933
773,h37a_11,Jump over brushwood kindles fire,"Person gives a trickster ability to kindle fire easily. He uses it without need, it is lost",True,5,0.005399568034557235
774,h37b_11,Charge of skunk used to no purpose,"Person gives a trickster his power (usually skunk gives his charge) but he squanders it all to see the effect. When a real need comes, the device does not work anymore",True,6,0.0064794816414686825
775,h38_10,Supernatural person comes after his property,"Supernatural person changes his guise and comes to the hero's children (more rare, to him). They hand him what he asks for and he disappears with his former property is",True,5,0.005399568034557235
776,h39_7,The spilled poison,Snakes drink liquid spilled on earth and become poisonous or immortal; creatures obtain their characteristics (usually becomes poisonous) after drinking or licking a particular medicine,True,14,0.01511879049676026
777,h40_5,Dog is the guard of man,Dog guards (successfully or unsuccessfully) the (still unfinished) physical body of man,True,45,0.04859611231101512
778,h41_4,Death and the dog,Dog is responsible for people being mortal or imperfect. Usually the antagonist bribes dog with a warm fur and the dog lets him spoil the half-ready human figures,True,57,0.061555075593952485
779,h42_4,Creator goes away for a while,"After creating the bodies of the first people or after getting a conception how to do it the Creator goes away for a while. During his absence another person, because of his or her ignorance or intentionally, spoils the creation or makes himself or herself what the Creator would make in a better way. Usually because of this people are mortal and subject to diseases",True,50,0.05399568034557235
780,h43_5,"One creates the body, another the soul","One supernatural creates the body of the first people, another revives them",True,25,0.026997840172786176
781,h43a_5,Broken figure of the first man,"After making human body, creator goes away for a time. In his absence another person makes attempt to break human figure that was not yet alive",True,16,0.017278617710583154
782,h43aa_5,Figure of the first man smeared with filth,"After making human body, creator goes away for a time. In his absence another person spits on the human figure that was not yet alive, smears it with filth, etc.",True,20,0.02159827213822894
783,h44_3,Sky and Earth divide their children,"Two persons, one of whom is connected with the sky or the water and another with the earth, divide their child or people created by them. Sky or Water takes the imperishable part, and Earth, the perishable",True,5,0.005399568034557235
784,h45_4,The abused bread,A woman or child demonstrate no respect for bread soiling it with excrements. For this God punishes all the humanity,True,43,0.04643628509719223
785,h46_4,The dog’s part,"To punish people, God deprives them of bread but keeps a small part for a dog or other domestic animal. That’s because cereals still exist",True,25,0.026997840172786176
786,h46A_4,The dog and the spike,Properties of the cereals (usually the size of the spike) are defined by what the dog did in time of creation,True,26,0.028077753779697623
787,h47_3,Offended sky or earth,The sky (or the earth) is offended by people’s behavior in respect to it and reacts accordingly (e.g. rises higher than it was before),True,35,0.03779697624190065
788,h48_8,Daughters of evil spirit,"Diseases are sisters (rare: brothers), usually children of evil spirit",True,18,0.019438444924406047
789,h49_10,Pet defends master’s child,"A dog or other animal or bird kills dangerous creature who was going to attack the pet's master or his child. The master thinks that the assailant was the pet, kills it, then regrets his deed",True,48,0.05183585313174946
790,h50_3,Sky god and mistress of the dead,"A couple of deities or ancestors divorces. Man remains on earth or ascends to the sky, woman becomes the mistress of the dead or of the underworld",True,10,0.01079913606911447
791,h51_7,The demonic horse,A horse is associated with antagonist of the God,True,39,0.042116630669546434
792,h52_10,The search of immortality,Person sets off in search of the country where there is no death. He finds it. He decides to visit his home and dies there,True,20,0.02159827213822894
793,h53_8,Wolf is the master of the dead,Wolf takes part in creation and/or is a brother of the creator who wins demons of the lower world. Wolf is the first person who died and/or becomes the master of the dead,True,14,0.01511879049676026
794,h54_8,The eyelids of Viy,"Eyelids or eyebrows of personage hang long down over his eyes. To make him see, eyelids should be propped up with poles, folks, etc.",True,14,0.01511879049676026
795,h55_8,Sinners in other world,Person who visits the other world gets to see different people punished or rewarded according to their behavior when they were alive on earth,True,38,0.04103671706263499
796,h55a_10,A married couple under one blanket,Person gets to see husband and wife who pull their blanket from each other or have not enough space for two on their bed,True,4,0.004319654427645789
797,h56_4,The prohibited fruit (origin of death),"After eating certain fruit, berry, tuber, etc. people become mortal (cf. motif F97: people become sexually aware)",True,17,0.0183585313174946
798,i1_3,The thunderbirds,"Creatures that produce rain and/or thunderstorms are birds or anthropomorphic beings with wings; or (rare) some or all birds are connected with thunder, lightning or rain though Thunder is not a bird",True,166,0.17926565874730022
799,i2_3,Lightning from eyes,Lightning emerges from eyes or mouth of the being who is thought to produce thunderstorms,True,56,0.06047516198704104
