null_model,metric,observed,null_mean,null_sd,z_over_empirical_null,null_q001,null_q025,null_median,null_q975,null_q999,null_max,exceedances_ge_observed,permutations,p_one_sided_plus_one
global_fixed_margins,same_both_pairs_w11,55389.0,26624.40057400574,189.62119922639042,151.69506122388748,26214.0,26320.0,26602.0,27059.0,27407.0,27986.0,0,99999,1e-05
global_fixed_margins,rand_index,0.7558344521627459,0.6215067448438771,0.0008855114084473311,151.69506122388754,0.6195902165664585,0.6200852256143833,0.6214021364777305,0.6235362792598214,0.6251614033039519,0.6278652734808242,0,99999,1e-05
global_fixed_margins,adjusted_rand_index,0.3548946168889256,-1.0191999715824124e-05,0.002339593695570851,151.69506122388748,-0.005073816739564304,-0.0037659622763382564,-0.0002865758741708478,0.005352004217284847,0.009645715096555266,0.01678956164568622,0,99999,1e-05
global_fixed_margins,mutual_information_nats,0.5626283174643183,0.006531303272560438,0.002664708603752591,208.6896155957282,0.0012250185867819403,0.002387731574637561,0.00617553379466549,0.012695167879163185,0.017819876536157818,0.025861395821267005,0,99999,1e-05
global_fixed_margins,nmi_arithmetic,0.3915607093533514,0.00454545507757494,0.0018545017353690432,208.6896155957282,0.0008525506660830259,0.0016617398024403062,0.004297857605484225,0.008835191521337306,0.012401728246693899,0.01799821690148988,0,99999,1e-05
global_fixed_margins,ami_arithmetic,0.3887839458076653,2.451471100936742e-06,0.001862965213802054,208.68961559572824,-0.0037073064252088886,-0.002894424353615598,-0.00024627597343743966,0.004311765190625656,0.007894578690535708,0.01351660830877599,0,99999,1e-05
macroarea_restricted,same_both_pairs_w11,55389.0,43439.756017560176,682.2091788743678,17.51551335347884,41496.0,42147.0,43423.0,44816.0,45665.0,46589.0,0,99999,1e-05
macroarea_restricted,rand_index,0.7558344521627459,0.700032717378134,0.003185846378492174,17.515513353478855,0.6909555776078454,0.6939956803455724,0.6999544685073843,0.7064596345805849,0.710424376860662,0.7147393613916292,0,99999,1e-05
macroarea_restricted,adjusted_rand_index,0.3548946168889256,0.20746186146806792,0.008417267164571874,17.515513353478845,0.18347931445874188,0.1915115149828943,0.20725512154021916,0.22444230330695392,0.23491747726241538,0.2463180199418575,0,99999,1e-05
macroarea_restricted,mutual_information_nats,0.5626283174643183,0.32649675025998054,0.01288118638359249,18.33150768667645,0.28949821349398297,0.30195302866724727,0.32620863149963886,0.35252603628167345,0.36892877368255833,0.3840289883933555,0,99999,1e-05
macroarea_restricted,nmi_arithmetic,0.3915607093533514,0.22722514165218813,0.008964650944701304,18.331507686676453,0.20147604077788167,0.21014395903355593,0.2270246256406837,0.24534020159895617,0.25675567304371605,0.26726465490619156,0,99999,1e-05
macroarea_restricted,ami_arithmetic,0.3887839458076653,0.22369839200161504,0.009005563351782365,18.33150768667646,0.1978317787218129,0.20653925517137658,0.22349696088558066,0.2418961245154927,0.2533636932942872,0.26392063550085393,0,99999,1e-05
